Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Image Gallery URLs,Attached File S3 Key,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,List The Domain Name Your Team Has Registered With .Tech During This Hackathon,Agreement,Prize Category Agreement,Which Of The Following Ai Tools Did You Use This Weekend?,Did You Implement A Generative Ai Model Or Api In Your Hack This Weekend?,"If You Are Submitting To The Best Use Of Gemma 4 Prize Category, Please Provide Your Project Number."
Civic Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099050-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:50:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #50.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-50,,,,"[MLH] Best Use of Auth0 AI Agents - Wireless Headphones, Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard, Sideshift x HackTech - Cash Prize + Interview","python, fastapi, react, postgresql",,Georgia Tech,2,,,,,,
Fuzzy Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099051-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:57:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #51.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"[MLH] Best Use of Backboard - Tile Essentials Pack, Best Creativity - Logitech MX MASTER 4 Mice, Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment","flutter, firebase, mapbox",,UT Austin,3,,,,,,
Hyper Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099052-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:04:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #52.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-52,,,,"[MLH] Best Use of Vultr - Portable Screens, Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker, Listen Labs x HackTech: Simulate Humanity","vue, nuxt, planetscale, clerk",,Waterloo,0,,,,,,
Amber Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099053-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:11:00,"## Inspiration
We wanted to improve open science for students.

## What it does
A demo for table scheduling — project #53.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"[MLH] Best .Tech Domain Name - Desktop Microphone, YC x HackTech - YC Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits","svelte, deno, turso, drizzle",,Carnegie Mellon,1,,,,,,
Nimbus Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099054-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:18:00,"## Inspiration
We wanted to improve creative coding for students.

## What it does
A demo for table scheduling — project #54.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-54,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Loveable x HackTech - Best use of Lovable, Ironsite x HackTech - Cash Prize, [MLH] Best Use of ElevenLabs - Wireless Earbuds","next.js, typescript, vercel, tailwind",,Caltech,2,,,,,,
Prism Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099055-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:25:00,"## Inspiration
We wanted to improve local communities for students.

## What it does
A demo for table scheduling — project #55.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"Best Use of AI - Mac Mini with Apple M4 chip, IFM x Hacktech - Best Use of K2 Think V2, [MLH] Best Use of Solana - Ledger Nano S Plus","react, node.js, supabase, tailwind",,MIT,3,,,,,,
Vector Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099056-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:32:00,"## Inspiration
We wanted to improve sustainability for students.

## What it does
A demo for table scheduling — project #56.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-56,,,,"Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard, Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Auth0 AI Agents - Wireless Headphones","python, fastapi, react, postgresql",,UC Berkeley,0,,,,,,
Chrono Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099057-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:39:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #57.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Best Creativity - Logitech MX MASTER 4 Mice, Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment, [MLH] Best Use of Backboard - Tile Essentials Pack","flutter, firebase, mapbox",,UCLA,1,,,,,,
Sonic Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099058-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:46:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #58.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-58,,,,"Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker, Listen Labs x HackTech: Simulate Humanity, [MLH] Best Use of Vultr - Portable Screens","vue, nuxt, planetscale, clerk",,Stanford,2,,,,,,
Ionic Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099059-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:53:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #59.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"YC x HackTech - YC Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best .Tech Domain Name - Desktop Microphone","svelte, deno, turso, drizzle",,Georgia Tech,3,,,,,,
Neon Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099060-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:00:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #60.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Ironsite x HackTech - Cash Prize, [MLH] Best Use of ElevenLabs - Wireless Earbuds, Loveable x HackTech - Best use of Lovable","next.js, typescript, vercel, tailwind",,UT Austin,0,,,,,,
